,country,CPI 2015 Score,lu,lpc,lsc,lhc,yr_sch,"Adolescent fertility rate (births per 1,000 women ages 15-19)","Employers, female (% of female employment)",Law prohibits discr employ b gender,"Labor force, female (% of total labor force)",The law prohibits disc access credit b gender,The government administers of maternity leave benefits,There is paid parental leave,legislation addressing domestic violence,Score(%)_hs,Score(%)_d,Score(%)_v,Value,First Tooltip,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption
41,India,38,25.3,15.66,27.25,6.91,7.352,19.127,0.5,1,20.6521225457954,0,0,0,1,25,37,17,42.86,16.5,2015,4.342079162597656,8.604167938232422,0.6101332902908325,58.900001525878906,0.7772252559661865,-0.005146285519003868,0.7764349579811096
42,Indonesia,36,4.01,25.52,25.98,7.59,8.649,48.6144,1.82000005245209,1,38.0616512623905,0,0,0,1,46,35,38,52.86,3.4,2015,5.042799949645996,9.225190162658691,0.8094781041145325,61.5,0.7794183492660522,0.471330463886261,0.9459672570228577
43,Iran,27,10.73,9.81,15.51,22.28,9.363,38.2094,1.33000004291534,0,17.2736821456974,0,1,0,0,43,50,24,32.86,4.0,2015,4.749955654144287,9.44920825958252,0.5724068880081177,65.0999984741211,0.7803832292556763,0.1763601452112198,0.698951244354248
44,Iraq,16,13.75,22.09,20.67,6.72,7.834,74.837,1.12999999523163,1,16.0139356319267,0,0,0,0,42,79,18,38.57,3.1,2015,4.493377208709717,9.240935325622559,0.6844348311424255,58.400001525878906,0.5994599461555481,0.01945452205836773,0.7621671557426453
45,Ireland,75,0.37,7.69,32.17,26.9,12.436,8.8202,2.22000002861023,1,45.1912497459581,1,1,0,1,56,59,41,42.86,11.5,2015,6.830125331878662,11.173857688903809,0.9529425501823425,72.0,0.89227694272995,0.2326010912656784,0.40875691175460815
46,Israel,61,1.94,4.81,40.86,25.58,12.697,10.3814,1.5,1,47.0046241042039,1,1,0,1,32,27,21,44.29,5.0,2015,7.079411029815674,10.535648345947266,0.8641301989555359,72.69999694824219,0.7527839541435242,0.10847609490156174,0.7894299030303955
47,Italy,44,1.0,5.7,39.98,10.31,11.03,5.5016,4.09000015258789,1,42.1307631857279,1,1,1,1,33,50,17,45.71,8.0,2015,5.847683906555176,10.607693672180176,0.908986508846283,73.0,0.5747657418251038,-0.06420718133449554,0.9127530455589294
48,Japan,75,0.13,4.53,40.69,25.98,12.826,4.0596,0.819999992847443,1,42.801874395819,0,1,1,1,26,28,26,57.14,19.4,2015,5.8796844482421875,10.588424682617188,0.9226571917533875,74.69999694824219,0.8316941857337952,-0.15512794256210327,0.654443085193634
49,Jordan,53,3.84,9.61,31.66,3.47,10.153,26.7598,0.850000023841858,0,17.6217930375297,0,1,0,1,23,46,5,44.29,2.9,2015,5.404593467712402,9.20739459991455,0.8304438591003418,66.19999694824219,0.7665170431137085,-0.04579333961009979,0.7445489010298807
50,Kazakhstan,28,0.1,1.18,66.5,13.52,11.367,30.374,0.779999971389771,1,48.5688986067282,0,1,1,1,37,51,25,40.0,24.9,2015,5.949995040893555,10.097837448120117,0.9313492774963379,62.79999923706055,0.7401328086853027,-0.036992888897657394,0.7138442993164062
51,Kenya,25,9.99,26.47,14.75,4.46,6.908,79.508,0.180000007152557,1,48.4822963502749,0,0,0,0,52,74,43,45.71,3.1,2015,4.3576178550720215,8.249250411987305,0.7769230604171753,58.29999923706055,0.7929903268814087,0.2206527590751648,0.8525498509407043
52,Kuwait,49,3.97,11.18,12.66,7.85,6.993,8.6948,0.270000010728836,0,27.0665305342589,0,0,0,0,46,74,15,47.14,2.3,2015,6.146031856536865,10.912070274353027,0.8230177760124207,66.0999984741211,0.821662425994873,0.08159535378217697,0.7445489010298807
53,Kyrgyzstan,28,0.21,4.08,67.46,10.6,11.038,37.265,1.51999998092651,1,41.0056552886476,1,0,0,1,49,53,36,40.0,8.1,2015,4.905375957489014,8.477441787719727,0.8565845489501953,63.20000076293945,0.8131758570671082,0.19976788759231567,0.8577250242233276
54,Latvia,56,0.23,2.1,54.85,18.07,11.736,15.8182,2.57999992370605,1,49.5789977856602,1,1,1,1,24,33,9,50.0,21.6,2015,5.8805975914001465,10.184513092041016,0.8793724179267883,65.9000015258789,0.6563931703567505,-0.07739152759313583,0.8084003925323486
